{u'10.0.0.110.0.0.45002': 102, u'10.0.0.110.0.0.45001': 102, u'10.0.0.110.0.0.65001': 102, u'10.0.0.110.0.0.65002': 102}
{u'10.0.0.110.0.0.45002': 100, u'10.0.0.110.0.0.45001': 100, u'10.0.0.110.0.0.65001': 100, u'10.0.0.110.0.0.65002': 100}
{u'10.0.0.110.0.0.45002': 102, u'10.0.0.110.0.0.45001': 102, u'10.0.0.110.0.0.65001': 102, u'10.0.0.110.0.0.65002': 102}
{u'10.0.0.110.0.0.45002': 102, u'10.0.0.110.0.0.45001': 102, u'10.0.0.110.0.0.65001': 102, u'10.0.0.110.0.0.65002': 102}
{u'10.0.0.110.0.0.45002': 102, u'10.0.0.110.0.0.45001': 102, u'10.0.0.110.0.0.65001': 102, u'10.0.0.110.0.0.65002': 102}
{u'10.0.0.110.0.0.45002': 102, u'10.0.0.110.0.0.45001': 102, u'10.0.0.110.0.0.65001': 102, u'10.0.0.110.0.0.65002': 102}
{u'10.0.0.110.0.0.45002': 100, u'10.0.0.110.0.0.45001': 100, u'10.0.0.110.0.0.65001': 100, u'10.0.0.110.0.0.65002': 100}
{u'10.0.0.110.0.0.45002': 101, u'10.0.0.110.0.0.45001': 101, u'10.0.0.110.0.0.65001': 101, u'10.0.0.110.0.0.65002': 101}
{u'10.0.0.110.0.0.45002': 102, u'10.0.0.110.0.0.45001': 102, u'10.0.0.110.0.0.65001': 102, u'10.0.0.110.0.0.65002': 102}
{u'10.0.0.110.0.0.45002': 100, u'10.0.0.110.0.0.45001': 101, u'10.0.0.110.0.0.65001': 100, u'10.0.0.110.0.0.65002': 100}
{u'10.0.0.110.0.0.45002': 101, u'10.0.0.110.0.0.45001': 101, u'10.0.0.110.0.0.65001': 101, u'10.0.0.110.0.0.65002': 101}
{u'10.0.0.110.0.0.45002': 102, u'10.0.0.110.0.0.45001': 102, u'10.0.0.110.0.0.65001': 102, u'10.0.0.110.0.0.65002': 102}
{u'10.0.0.110.0.0.45002': 100, u'10.0.0.110.0.0.45001': 100, u'10.0.0.110.0.0.65001': 100, u'10.0.0.110.0.0.65002': 100}
{u'10.0.0.110.0.0.45002': 102, u'10.0.0.110.0.0.45001': 102, u'10.0.0.110.0.0.65001': 102, u'10.0.0.110.0.0.65002': 102}
{u'10.0.0.110.0.0.45002': 100, u'10.0.0.110.0.0.45001': 101, u'10.0.0.110.0.0.65001': 100, u'10.0.0.110.0.0.65002': 100}
{u'10.0.0.110.0.0.45002': 100, u'10.0.0.110.0.0.45001': 100, u'10.0.0.110.0.0.65001': 100, u'10.0.0.110.0.0.65002': 101}
